zacatek;konec;nakazeni;vyleceni;hospitalizovani;testy
2020-04-01 00:00:00;2020-04-30 00:00:00;4382;4923;721;197883
2020-05-01 00:00:00;2020-05-31 00:00:00;1605;2805;182;189764
2020-06-01 00:00:00;2020-06-30 00:00:00;2696;1544;148;106755
2020-07-01 00:00:00;2020-07-31 00:00:00;4591;3860;252;145327
2020-08-01 00:00:00;2020-08-31 00:00:00;8061;6494;412;215114
2020-09-01 00:00:00;2020-09-30 00:00:00;46137;27292;2337;477080
2020-10-01 00:00:00;2020-10-31 00:00:00;264342;166816;17819;944829
2020-11-01 00:00:00;2020-11-30 00:00:00;188217;265092;18169;752563
2020-12-01 00:00:00;2020-12-31 00:00:00;209071;148189;16185;724873
2021-01-01 00:00:00;2021-01-31 00:00:00;255753;282512;20330;789602
2021-02-01 00:00:00;2021-02-28 00:00:00;252935;207189;19155;769917
2021-03-01 00:00:00;2021-03-31 00:00:00;300016;300591;25352;891955
2021-04-01 00:00:00;2021-04-30 00:00:00;93376;155886;10506;510765
2021-05-01 00:00:00;2021-05-31 00:00:00;28924;53057;3067;535480
2021-06-01 00:00:00;2021-06-30 00:00:00;5347;10732;357;741388
2021-07-01 00:00:00;2021-07-31 00:00:00;6003;4835;159;976794
2021-08-01 00:00:00;2021-08-31 00:00:00;5709;5594;216;1002106
2021-09-01 00:00:00;2021-09-30 00:00:00;12971;8624;564;771426
2021-10-01 00:00:00;2021-10-31 00:00:00;73245;24466;3317;906958
2021-11-01 00:00:00;2021-11-30 00:00:00;406041;231532;16357;2003041
