datum_zacatek;datum_konec;orp_kod;mzcr_orp_kod;orp_nazev;0-14;15-59;60+;nakazeni;pocet_davek
2020-10-01 00:00:00;2020-12-31 00:00:00;6203;6403;Brno;57671;218246;101349;19757;2668
2021-01-01 00:00:00;2021-03-31 00:00:00;6203;6403;Brno;57671;218246;101349;20585;72987
2021-04-01 00:00:00;2021-06-30 00:00:00;6203;6403;Brno;57671;218246;101349;3567;233051
2021-07-01 00:00:00;2021-09-30 00:00:00;6203;6403;Brno;57671;218246;101349;985;112958
2020-10-01 00:00:00;2020-12-31 00:00:00;8119;8019;Ostrava;46624;182910;83887;20180;506
2021-01-01 00:00:00;2021-03-31 00:00:00;8119;8019;Ostrava;46624;182910;83887;17866;51727
2021-04-01 00:00:00;2021-06-30 00:00:00;8119;8019;Ostrava;46624;182910;83887;4919;188185
2021-07-01 00:00:00;2021-09-30 00:00:00;8119;8019;Ostrava;46624;182910;83887;748;88315
2020-10-01 00:00:00;2020-12-31 00:00:00;3209;3209;Plzeň;29229;111211;51980;11512;30
2021-01-01 00:00:00;2021-03-31 00:00:00;3209;3209;Plzeň;29229;111211;51980;16960;35901
2021-04-01 00:00:00;2021-06-30 00:00:00;3209;3209;Plzeň;29229;111211;51980;1594;121068
2021-07-01 00:00:00;2021-09-30 00:00:00;3209;3209;Plzeň;29229;111211;51980;667;59059
2020-10-01 00:00:00;2020-12-31 00:00:00;7107;7107;Olomouc;26878;93405;42976;9453;146
2021-01-01 00:00:00;2021-03-31 00:00:00;7107;7107;Olomouc;26878;93405;42976;11634;30972
2021-04-01 00:00:00;2021-06-30 00:00:00;7107;7107;Olomouc;26878;93405;42976;2048;92755
2021-07-01 00:00:00;2021-09-30 00:00:00;7107;7107;Olomouc;26878;93405;42976;357;50982
2020-10-01 00:00:00;2020-12-31 00:00:00;3102;3102;České Budějovice;26526;92740;41787;10336;16
2021-01-01 00:00:00;2021-03-31 00:00:00;3102;3102;České Budějovice;26526;92740;41787;9901;24880
2021-04-01 00:00:00;2021-06-30 00:00:00;3102;3102;České Budějovice;26526;92740;41787;3048;106361
2021-07-01 00:00:00;2021-09-30 00:00:00;3102;3102;České Budějovice;26526;92740;41787;576;49389
