datum_zacatek;datum_konec;zemreli;zemreli_covid
2020-01-06 00:00:00;2020-01-12 00:00:00;2325;
2020-01-13 00:00:00;2020-01-19 00:00:00;2244;
2020-01-20 00:00:00;2020-01-26 00:00:00;2337;
2020-01-27 00:00:00;2020-02-02 00:00:00;2364;0
2020-02-03 00:00:00;2020-02-09 00:00:00;2355;0
2020-02-10 00:00:00;2020-02-16 00:00:00;2391;0
2020-02-17 00:00:00;2020-02-23 00:00:00;2350;0
2020-02-24 00:00:00;2020-03-01 00:00:00;2360;0
2020-03-02 00:00:00;2020-03-08 00:00:00;2294;0
2020-03-09 00:00:00;2020-03-15 00:00:00;2295;0
2020-03-16 00:00:00;2020-03-22 00:00:00;2325;1
2020-03-23 00:00:00;2020-03-29 00:00:00;2297;22
2020-03-30 00:00:00;2020-04-05 00:00:00;2320;51
2020-04-06 00:00:00;2020-04-12 00:00:00;2244;72
2020-04-13 00:00:00;2020-04-19 00:00:00;2125;43
2020-04-20 00:00:00;2020-04-26 00:00:00;2036;35
2020-04-27 00:00:00;2020-05-03 00:00:00;2109;30
2020-05-04 00:00:00;2020-05-10 00:00:00;1999;26
2020-05-11 00:00:00;2020-05-17 00:00:00;2026;17
2020-05-18 00:00:00;2020-05-24 00:00:00;1919;17
2020-05-25 00:00:00;2020-05-31 00:00:00;1939;4
2020-06-01 00:00:00;2020-06-07 00:00:00;2135;8
2020-06-08 00:00:00;2020-06-14 00:00:00;1983;5
2020-06-15 00:00:00;2020-06-21 00:00:00;2022;8
2020-06-22 00:00:00;2020-06-28 00:00:00;2082;7
2020-06-29 00:00:00;2020-07-05 00:00:00;2111;6
2020-07-06 00:00:00;2020-07-12 00:00:00;1999;3
2020-07-13 00:00:00;2020-07-19 00:00:00;1989;6
2020-07-20 00:00:00;2020-07-26 00:00:00;2088;11
2020-07-27 00:00:00;2020-08-02 00:00:00;2227;14
2020-08-03 00:00:00;2020-08-09 00:00:00;2166;7
2020-08-10 00:00:00;2020-08-16 00:00:00;2187;9
2020-08-17 00:00:00;2020-08-23 00:00:00;2104;16
2020-08-24 00:00:00;2020-08-30 00:00:00;2033;8
2020-08-31 00:00:00;2020-09-06 00:00:00;2038;17
2020-09-07 00:00:00;2020-09-13 00:00:00;2089;29
2020-09-14 00:00:00;2020-09-20 00:00:00;2220;56
2020-09-21 00:00:00;2020-09-27 00:00:00;2392;99
2020-09-28 00:00:00;2020-10-04 00:00:00;2381;146
2020-10-05 00:00:00;2020-10-11 00:00:00;2609;301
2020-10-12 00:00:00;2020-10-18 00:00:00;2946;496
2020-10-19 00:00:00;2020-10-25 00:00:00;3647;899
2020-10-26 00:00:00;2020-11-01 00:00:00;4226;1359
2020-11-02 00:00:00;2020-11-08 00:00:00;4238;1534
2020-11-09 00:00:00;2020-11-15 00:00:00;3852;1277
2020-11-16 00:00:00;2020-11-22 00:00:00;3424;976
2020-11-23 00:00:00;2020-11-29 00:00:00;3169;868
2020-11-30 00:00:00;2020-12-06 00:00:00;3100;756
2020-12-07 00:00:00;2020-12-13 00:00:00;3104;697
2020-12-14 00:00:00;2020-12-20 00:00:00;3242;767
2020-12-21 00:00:00;2020-12-27 00:00:00;3214;771
2020-12-28 00:00:00;2021-01-03 00:00:00;3541;987
2021-01-04 00:00:00;2021-01-10 00:00:00;3821;1228
2021-01-11 00:00:00;2021-01-17 00:00:00;3735;1164
2021-01-18 00:00:00;2021-01-24 00:00:00;3582;1041
2021-01-25 00:00:00;2021-01-31 00:00:00;3435;976
2021-02-01 00:00:00;2021-02-07 00:00:00;3259;920
2021-02-08 00:00:00;2021-02-14 00:00:00;3428;946
2021-02-15 00:00:00;2021-02-21 00:00:00;3470;1091
2021-02-22 00:00:00;2021-02-28 00:00:00;3612;1206
2021-03-01 00:00:00;2021-03-07 00:00:00;3907;1415
2021-03-08 00:00:00;2021-03-14 00:00:00;4014;1545
2021-03-15 00:00:00;2021-03-21 00:00:00;3821;1421
2021-03-22 00:00:00;2021-03-28 00:00:00;3451;1202
2021-03-29 00:00:00;2021-04-04 00:00:00;3382;1033
2021-04-05 00:00:00;2021-04-11 00:00:00;2937;791
2021-04-12 00:00:00;2021-04-18 00:00:00;2626;569
2021-04-19 00:00:00;2021-04-25 00:00:00;2502;420
2021-04-26 00:00:00;2021-05-02 00:00:00;2470;334
2021-05-03 00:00:00;2021-05-09 00:00:00;2289;256
2021-05-10 00:00:00;2021-05-16 00:00:00;2243;167
2021-05-17 00:00:00;2021-05-23 00:00:00;2040;106
2021-05-24 00:00:00;2021-05-30 00:00:00;1948;57
2021-05-31 00:00:00;2021-06-06 00:00:00;2037;37
2021-06-07 00:00:00;2021-06-13 00:00:00;1950;27
2021-06-14 00:00:00;2021-06-20 00:00:00;2043;13
2021-06-21 00:00:00;2021-06-27 00:00:00;1990;11
2021-06-28 00:00:00;2021-07-04 00:00:00;1875;7
2021-07-05 00:00:00;2021-07-11 00:00:00;1917;3
2021-07-12 00:00:00;2021-07-18 00:00:00;2015;3
2021-07-19 00:00:00;2021-07-25 00:00:00;1944;3
2021-07-26 00:00:00;2021-08-01 00:00:00;2086;4
2021-08-02 00:00:00;2021-08-08 00:00:00;1886;4
2021-08-09 00:00:00;2021-08-15 00:00:00;2004;5
2021-08-16 00:00:00;2021-08-22 00:00:00;1963;9
2021-08-23 00:00:00;2021-08-29 00:00:00;1922;8
2021-08-30 00:00:00;2021-09-05 00:00:00;1916;2
2021-09-06 00:00:00;2021-09-12 00:00:00;1953;6
