KODJAZ,TYPVAZ,AKRCIS1,KODCIS1,CHODNOTA1,TEXT1,AKRCIS2,KODCIS2,CHODNOTA2,TEXT2
"CS","Editaèní vazba","CISORP",65,"1000","Praha","KRAJ_NUTS",100,"3018","Hlavní mìsto Praha"
"CS","Editaèní vazba","CISORP",65,"2101","Benešov","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2102","Beroun","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2103","Brandıs nad Labem-Stará Boleslav","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2104","Èáslav","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2105","Èernošice","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2106","Èeskı Brod","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2107","Dobøíš","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2108","Hoøovice","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2109","Kladno","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2110","Kolín","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2111","Kralupy nad Vltavou","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2112","Kutná Hora","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2113","Lysá nad Labem","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2114","Mìlník","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2115","Mladá Boleslav","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
"CS","Editaèní vazba","CISORP",65,"2116","Mnichovo Hradištì","KRAJ_NUTS",100,"3026","Støedoèeskı kraj"
